;customerkey;cohort_year;month;retirned_customer
0;15;2021;Month 1;0
1;406;2021;Month 1;0
2;545;2023;Month 1;0
3;649;2022;Month 1;0
4;688;2023;Month 1;0
5;963;2023;Month 1;0
6;1045;2022;Month 1;0
7;1358;2023;Month 1;0
8;1381;2020;Month 1;0
9;1401;2024;Month 1;0
10;1539;2021;Month 1;0
11;1583;2022;Month 1;0
12;1802;2022;Month 1;0
13;1806;2022;Month 1;0
14;1807;2022;Month 1;0
15;1898;2023;Month 1;0
16;2185;2021;Month 1;0
17;2268;2023;Month 1;0
18;2283;2023;Month 1;0
19;2599;2021;Month 1;0
20;2608;2022;Month 1;0
21;2622;2024;Month 1;0
22;2661;2022;Month 1;0
23;2962;2024;Month 1;0
24;3008;2023;Month 1;0
25;3011;2022;Month 1;0
26;3081;2021;Month 1;0
27;3220;2022;Month 1;0
28;3428;2021;Month 1;0
29;3440;2022;Month 1;0
30;3574;2022;Month 1;0
31;3663;2020;Month 1;0
32;3706;2022;Month 1;0
33;3901;2021;Month 1;0
34;3923;2022;Month 1;0
35;4078;2021;Month 1;0
36;4129;2024;Month 1;0
37;4212;2020;Month 1;0
38;4527;2021;Month 1;0
39;4639;2022;Month 1;0
40;4699;2023;Month 1;0
41;4712;2020;Month 1;0
42;4713;2023;Month 1;0
43;4836;2020;Month 1;0
44;4891;2021;Month 1;0
45;4980;2023;Month 1;0
46;5070;2022;Month 1;0
47;5176;2023;Month 1;0
48;5216;2021;Month 1;0
49;5293;2022;Month 1;0
50;5308;2023;Month 1;0
51;5371;2021;Month 1;0
52;5397;2022;Month 1;0
53;5447;2023;Month 1;0
54;5568;2022;Month 1;0
55;5592;2023;Month 1;0
56;5676;2023;Month 1;0
57;5808;2020;Month 1;0
58;5963;2021;Month 1;0
59;6044;2022;Month 1;0
60;6151;2020;Month 1;0
61;6168;2022;Month 1;0
62;6204;2023;Month 1;0
63;6291;2022;Month 1;0
64;6301;2022;Month 1;0
65;6306;2022;Month 1;0
66;6432;2022;Month 1;0
67;6645;2021;Month 1;0
68;6809;2020;Month 1;0
69;6832;2023;Month 1;0
70;6887;2022;Month 1;0
71;6943;2020;Month 1;0
72;7018;2021;Month 1;0
73;7163;2022;Month 1;0
74;7181;2022;Month 1;0
75;7364;2023;Month 1;0
76;7539;2021;Month 1;0
77;7583;2020;Month 1;0
78;7781;2021;Month 1;0
79;7911;2023;Month 1;0
80;7977;2023;Month 1;0
81;8006;2022;Month 1;0
82;8121;2021;Month 1;0
83;8227;2022;Month 1;0
84;8271;2022;Month 1;0
85;8283;2022;Month 1;0
86;8289;2023;Month 1;0
87;8340;2022;Month 1;0
88;8395;2023;Month 1;0
89;8467;2021;Month 1;0
90;8489;2024;Month 1;0
91;8601;2022;Month 1;0
92;8642;2023;Month 1;0
93;8651;2024;Month 1;0
94;8754;2022;Month 1;0
95;8842;2020;Month 1;0
96;8993;2023;Month 1;0
97;9006;2023;Month 1;0
98;9016;2022;Month 1;0
99;9053;2022;Month 1;0
100;9533;2021;Month 1;0
101;9613;2022;Month 1;0
102;9761;2022;Month 1;0
103;9810;2022;Month 1;0
104;9833;2022;Month 1;0
105;9874;2022;Month 1;0
106;10053;2021;Month 1;0
107;10058;2021;Month 1;0
108;10231;2020;Month 1;0
109;10319;2022;Month 1;0
110;10388;2023;Month 1;0
111;10407;2023;Month 1;0
112;10514;2022;Month 1;0
113;10578;2023;Month 1;0
114;10808;2021;Month 1;0
115;10952;2022;Month 1;0
116;11414;2022;Month 1;0
117;11462;2022;Month 1;0
118;11515;2023;Month 1;0
119;11632;2023;Month 1;0
120;11709;2021;Month 1;0
121;11775;2023;Month 1;1
122;11843;2020;Month 1;0
