"customerkey","total","cohort_year","customer_group","m_1","m_3","m_6","m_12"
15,2217.4064388,"2021","Medium Value","0","0","0","0"
406,2193.4154119823997,"2021","Medium Value","0","0","0","0"
545,3551.47307316,"2023","High Value","0","0","0","0"
649,2313.9784164266002,"2022","Medium Value","0","0","0","0"
688,16909.040928714003,"2023","High Value","0","0","0","0"
963,46.98972515999999,"2023","Low Value","0","0","0","0"
1045,4766.080491144799,"2022","High Value","0","0","0","1"
1358,425.51369377400005,"2023","Low Value","0","0","0","0"
1381,4296.6055934999995,"2020","High Value","0","0","0","0"
1401,405.85116,"2024","Low Value","0","0","0","0"
1539,2216.7378588816,"2021","Medium Value","0","0","0","0"
1583,738.06359706,"2022","Medium Value","0","0","0","0"
1802,5290.78885774,"2022","High Value","0","0","0","1"
1806,808.578433674,"2022","Medium Value","0","0","0","0"
1807,262.74830399999996,"2022","Low Value","0","0","0","0"
1898,606.32064,"2023","Medium Value","0","0","0","0"
2185,9492.664982119999,"2021","High Value","0","0","0","0"
2268,1243.5384368999999,"2023","Medium Value","0","0","0","0"
2283,70.7993152,"2023","Low Value","0","0","0","0"
2599,5652.5952954114,"2021","High Value","0","0","0","0"
2608,8465.101300170001,"2022","High Value","0","0","0","0"
2622,550.7736199420001,"2024","Medium Value","0","0","0","0"
2661,113.24542629399998,"2022","Low Value","0","0","0","0"
2962,1494.108831384,"2024","Medium Value","0","0","0","0"
3008,2260.058394048,"2023","Medium Value","0","0","0","0"
3011,1166.1198299999999,"2022","Medium Value","0","0","0","0"
3081,15586.8218703251,"2021","High Value","0","0","1","1"
3220,73.574352,"2022","Low Value","0","0","0","0"
3428,2416.3254388176,"2021","Medium Value","0","0","0","0"
3440,2139.00616578,"2022","Medium Value","0","0","0","0"
3574,4268.159383395601,"2022","High Value","0","1","0","0"
3663,80.5028097636,"2020","Low Value","0","0","0","0"
3706,1759.1939639999998,"2022","Medium Value","0","0","0","0"
3901,2138.9427099345,"2021","Medium Value","0","0","0","0"
3923,2946.6209359,"2022","Medium Value","0","0","0","1"
4078,1366.8709479749998,"2021","Medium Value","0","0","0","0"
4129,12785.0012991,"2024","High Value","0","0","0","0"
4212,36.697276800000004,"2020","Low Value","0","0","0","0"
4527,413.55194755499997,"2021","Low Value","0","0","0","0"
4639,28.622089999999996,"2022","Low Value","0","0","0","0"
4699,1168.75068,"2023","Medium Value","0","0","0","0"
4712,3664.1102784,"2020","High Value","0","0","0","0"
4713,1993.4019072,"2023","Medium Value","0","0","0","0"
4836,1092.55177175,"2020","Medium Value","0","0","0","0"
4891,2995.9998315156,"2021","Medium Value","0","0","0","0"
4980,14123.358437448001,"2023","High Value","0","0","0","0"
5070,1938.3965036339998,"2022","Medium Value","0","0","0","0"
5176,5639.5163628,"2023","High Value","0","0","0","0"
5216,1004.73997456,"2021","Medium Value","0","0","0","0"
5293,3130.8010678224,"2022","Medium Value","0","0","1","0"
5308,1995.7665402,"2023","Medium Value","0","0","0","0"
5371,10096.146745157599,"2021","High Value","0","0","0","0"
5397,16996.744621365197,"2022","High Value","0","0","0","1"
5447,505.40332322,"2023","Medium Value","0","0","0","0"
5568,411.75573238799996,"2022","Low Value","0","0","0","0"
5592,1548.7705799999999,"2023","Medium Value","0","0","0","0"
5676,816.0348768,"2023","Medium Value","0","0","0","0"
5808,4221.731745,"2020","High Value","0","0","0","0"
5963,3485.8699214856,"2021","Medium Value","0","0","0","1"
6044,2929.4550413099996,"2022","Medium Value","0","0","0","0"
6151,4016.1296447999994,"2020","High Value","0","0","0","0"
6168,4268.018434424001,"2022","High Value","0","0","0","0"
6204,1930.2215371599998,"2023","Medium Value","0","0","0","0"
6291,10863.07605,"2022","High Value","0","0","0","0"
6301,808.698895,"2022","Medium Value","0","0","0","0"
6306,3297.604582803,"2022","Medium Value","0","0","0","0"
6432,4806.696236858001,"2022","High Value","0","0","0","0"
6645,858.8513165079,"2021","Medium Value","0","1","0","0"
6809,606.68102,"2020","Medium Value","0","0","0","0"
6832,20078.736706000003,"2023","High Value","0","0","1","0"
6887,2313.6732129800002,"2022","Medium Value","0","0","0","0"
6943,11514.31162361025,"2020","High Value","0","0","0","0"
7018,11623.7579870088,"2021","High Value","0","0","0","0"
7163,474.2359584000001,"2022","Low Value","0","0","0","0"
7181,3986.92190394,"2022","High Value","0","0","0","1"
7364,4315.7856612,"2023","High Value","0","0","0","0"
7539,3599.3055120000004,"2021","Medium Value","0","0","0","0"
7583,4616.044007283001,"2020","High Value","0","0","0","0"
7781,7.6638474696,"2021","Low Value","0","0","0","0"
7911,425.69881200000003,"2023","Low Value","0","0","0","0"
7977,1769.833431,"2023","Medium Value","0","0","0","0"
8006,7833.431300292001,"2022","High Value","0","0","0","0"
8121,1582.9183281923997,"2021","Medium Value","0","0","0","0"
8227,1602.7290279150002,"2022","Medium Value","0","0","0","0"
8271,5723.7498854800015,"2022","High Value","0","0","0","0"
8283,18991.27128522,"2022","High Value","0","0","0","1"
8289,3587.3121971460005,"2023","High Value","0","0","0","0"
8340,3682.725285504,"2022","Medium Value","0","0","0","0"
8395,2116.0071071300003,"2023","Medium Value","0","0","0","0"
8467,730.6681414428,"2021","Medium Value","0","0","0","0"
8489,6904.546911936,"2024","High Value","0","0","0","0"
8601,2640.0899889,"2022","Medium Value","0","0","0","0"
8642,1215.93888675,"2023","Medium Value","0","0","0","0"
8651,190.26664329,"2024","Low Value","0","0","0","0"
8754,43.001507399999994,"2022","Low Value","0","0","0","0"
8842,20937.021026068,"2020","High Value","0","0","0","0"
8993,4627.14055878,"2023","High Value","0","0","0","0"
9006,18938.578503607998,"2023","High Value","0","0","1","0"
9016,208.61850464,"2022","Low Value","0","0","0","0"
9053,6156.219080000001,"2022","High Value","0","0","0","0"
9533,9291.0446051501,"2021","High Value","0","0","0","0"
9613,9389.530137000002,"2022","High Value","0","0","0","0"
9761,10884.0472155888,"2022","High Value","0","0","0","0"
9810,970.454201913,"2022","Medium Value","0","0","0","0"
9833,2511.9626405999998,"2022","Medium Value","0","0","0","0"
9874,13579.0640026145,"2022","High Value","0","0","0","0"
10053,7766.361895529999,"2021","High Value","0","0","0","0"
10058,1022.406462,"2021","Medium Value","0","0","0","0"
10231,235.87061415,"2020","Low Value","0","0","0","0"
