"customerkey","first_order_date","cohort_year","second_order_date","second_order_lag"
1553391,"2022-01-27","2022","2022-09-17",233
1170977,"2022-03-08","2022","2022-11-19",256
626717,"2020-03-04","2020","2021-10-18",593
1870473,"2021-12-15","2021","2022-08-25",253
1491597,"2021-09-06","2021","2022-12-16",466
855762,"2022-11-28","2022","2023-02-11",75
597434,"2022-06-11","2022","2023-10-16",492
1351378,"2021-09-01","2021","2022-01-05",126
1464687,"2023-01-21","2023","2023-03-22",60
1540884,"2021-02-13","2021","2021-07-13",150
461854,"2022-11-19","2022","2023-12-12",388
1764086,"2021-08-27","2021","2023-05-29",640
2013413,"2022-05-26","2022","2022-06-14",19
350943,"2021-08-19","2021","2023-10-29",801
1709738,"2023-01-26","2023","2023-08-03",189
414561,"2022-07-11","2022","2022-11-23",135
1913719,"2022-03-07","2022","2023-05-12",431
1711429,"2020-02-14","2020","2023-05-27",1198
1830617,"2021-10-18","2021","2023-12-29",802
351774,"2020-09-21","2020","2021-08-19",332
1707614,"2020-12-16","2020","2022-06-01",532
1617667,"2021-10-02","2021","2023-12-06",795
16901,"2022-03-19","2022","2023-03-16",362
422587,"2023-03-14","2023","2023-12-11",272
1744506,"2022-02-17","2022","2022-09-04",199
1769129,"2021-12-29","2021","2023-09-28",638
302658,"2021-08-31","2021","2022-05-14",256
1835037,"2023-05-23","2023","2023-07-25",63
968045,"2022-04-25","2022","2022-12-27",246
1532467,"2020-03-04","2020","2021-12-01",637
1216366,"2021-02-20","2021","2022-06-02",467
1496966,"2022-03-03","2022","2022-09-29",210
1678597,"2023-01-13","2023","2023-05-26",133
1870979,"2020-02-19","2020","2022-05-25",826
513300,"2023-01-30","2023","2023-06-14",135
866686,"2022-11-08","2022","2023-04-29",172
900494,"2021-03-13","2021","2022-02-17",341
1788534,"2022-09-05","2022","2022-12-15",101
1856253,"2021-06-03","2021","2022-09-03",457
1899617,"2020-02-20","2020","2022-07-27",888
2072928,"2021-08-05","2021","2022-08-05",365
1073207,"2022-03-05","2022","2023-08-31",544
2018174,"2022-07-27","2022","2022-10-29",94
789712,"2022-03-08","2022","2022-09-09",185
2093516,"2020-01-18","2020","2022-05-28",861
1465388,"2023-11-14","2023","2023-12-01",17
1212176,"2021-09-02","2021","2021-10-09",37
1358589,"2020-10-17","2020","2022-06-11",602
540426,"2022-04-12","2022","2023-02-25",319
1633781,"2022-11-05","2022","2022-11-11",6
1739070,"2021-06-12","2021","2023-06-26",744
1357968,"2022-02-28","2022","2023-07-01",488
1224477,"2022-05-16","2022","2023-12-25",588
1835822,"2021-08-11","2021","2022-01-01",143
1967136,"2023-01-17","2023","2023-03-13",55
1234412,"2021-04-26","2021","2021-09-18",145
693594,"2021-11-01","2021","2022-11-17",381
194484,"2020-09-30","2020","2022-05-17",594
1683383,"2023-05-16","2023","2023-11-22",190
424954,"2022-12-31","2022","2023-02-15",46
2058944,"2023-08-17","2023","2023-11-30",105
1024834,"2022-12-29","2022","2023-02-10",43
2024139,"2022-10-04","2022","2023-01-09",97
560493,"2023-05-10","2023","2023-07-19",70
125785,"2021-12-20","2021","2022-01-20",31
580990,"2022-07-05","2022","2023-03-03",241
1322617,"2020-03-30","2020","2021-06-03",430
1256898,"2023-02-28","2023","2023-09-25",209
184321,"2022-05-27","2022","2022-10-17",143
1403337,"2022-03-18","2022","2023-11-07",599
1120033,"2020-06-13","2020","2023-11-11",1246
1477302,"2020-04-27","2020","2023-01-06",984
1223244,"2021-03-09","2021","2022-11-08",609
574307,"2020-02-17","2020","2022-08-01",896
1627318,"2022-01-05","2022","2022-02-12",38
560047,"2020-12-11","2020","2022-02-07",423
1896694,"2022-03-02","2022","2022-10-28",240
751881,"2021-12-20","2021","2022-05-29",160
1369669,"2023-01-03","2023","2023-02-22",50
1311036,"2022-03-26","2022","2022-11-04",223
1358684,"2022-12-14","2022","2023-11-01",322
525930,"2021-06-30","2021","2023-01-14",563
480892,"2021-11-13","2021","2023-04-19",522
1868350,"2022-01-14","2022","2023-07-28",560
409468,"2021-08-10","2021","2022-09-17",403
323680,"2021-12-24","2021","2022-05-03",130
1520750,"2022-02-25","2022","2022-12-20",298
1350254,"2022-11-05","2022","2023-10-30",359
2080900,"2022-10-06","2022","2023-06-24",261
2047736,"2022-02-16","2022","2022-12-15",302
473583,"2022-12-06","2022","2023-07-18",224
1897597,"2022-05-05","2022","2022-07-14",70
1708252,"2020-06-23","2020","2022-05-19",695
201684,"2022-12-08","2022","2023-10-20",316
885930,"2022-10-04","2022","2023-04-28",206
1370420,"2020-03-07","2020","2021-01-07",306
351418,"2020-01-15","2020","2021-08-23",586
79095,"2020-02-20","2020","2022-02-09",720
1509110,"2022-01-25","2022","2023-10-21",634
1623952,"2021-08-24","2021","2022-02-01",161
1208669,"2023-10-05","2023","2023-11-16",42
2053326,"2020-02-12","2020","2021-09-23",589
406055,"2020-02-19","2020","2021-12-14",664
1398595,"2023-01-28","2023","2023-12-14",320
2050019,"2021-05-12","2021","2022-09-09",485
529663,"2020-02-18","2020","2023-12-02",1383
1789578,"2022-05-04","2022","2022-10-09",158
1456505,"2020-02-15","2020","2023-07-21",1252
935091,"2020-01-29","2020","2022-04-25",817
2033073,"2021-11-26","2021","2022-02-19",85
1899691,"2022-12-03","2022","2023-04-06",124
1881712,"2022-10-03","2022","2023-12-25",448
682548,"2020-10-30","2020","2022-01-08",435
1503018,"2021-10-21","2021","2021-11-27",37
676563,"2021-04-28","2021","2023-07-01",794
395926,"2022-12-27","2022","2023-06-28",183
1303029,"2022-05-17","2022","2023-04-26",344
1792659,"2022-06-13","2022","2023-05-15",336
1279049,"2022-11-11","2022","2023-07-08",239
1769576,"2023-09-13","2023","2023-10-25",42
915101,"2022-01-21","2022","2022-05-25",124
1635221,"2022-02-11","2022","2022-09-22",223
1299309,"2021-06-17","2021","2022-06-06",354
557780,"2022-01-15","2022","2023-12-13",697
68702,"2020-06-19","2020","2023-07-11",1117
1248105,"2020-05-06","2020","2021-08-26",477
1998529,"2023-02-25","2023","2023-03-01",4
1551851,"2021-12-21","2021","2023-02-18",424
1845517,"2021-12-09","2021","2022-09-17",282
1072563,"2022-06-23","2022","2023-09-29",463
1550016,"2021-10-18","2021","2022-06-28",253
1778112,"2022-12-25","2022","2023-06-03",160
1426987,"2022-10-15","2022","2022-11-02",18
475167,"2021-09-15","2021","2021-12-13",89
330553,"2021-12-11","2021","2022-02-11",62
1733854,"2020-07-08","2020","2022-11-09",854
97060,"2020-01-09","2020","2022-07-20",923
1451009,"2023-04-26","2023","2023-06-19",54
1693942,"2020-10-31","2020","2022-05-23",569
449591,"2022-02-01","2022","2023-01-20",353
1518674,"2020-02-17","2020","2021-12-08",660
1796873,"2021-07-01","2021","2021-12-22",174
1610649,"2020-02-12","2020","2022-02-16",735
1472590,"2022-08-16","2022","2023-05-19",276
921169,"2021-11-23","2021","2022-05-07",165
1317814,"2022-08-18","2022","2023-05-13",268
2010174,"2021-07-20","2021","2021-08-10",21
869111,"2022-03-03","2022","2022-12-31",303
1587152,"2021-05-07","2021","2023-06-20",774
863433,"2022-03-28","2022","2022-11-05",222
2049384,"2022-01-24","2022","2023-05-14",475
1380323,"2021-05-15","2021","2023-11-14",913
1751872,"2020-05-04","2020","2022-10-29",908
1383480,"2020-05-08","2020","2022-05-28",750
1462347,"2020-09-25","2020","2022-06-02",615
217960,"2021-11-06","2021","2022-03-16",130
89427,"2021-12-23","2021","2023-11-11",688
1304706,"2021-07-01","2021","2023-05-31",699
939291,"2021-12-27","2021","2023-03-04",432
526402,"2021-09-15","2021","2022-01-24",131
2023185,"2023-02-25","2023","2023-10-12",229
884351,"2021-05-08","2021","2023-08-07",821
1139542,"2021-11-19","2021","2022-01-13",55
1935588,"2022-08-08","2022","2022-11-10",94
964900,"2023-02-09","2023","2023-06-12",123
1232616,"2022-08-05","2022","2023-08-22",382
1478924,"2020-01-22","2020","2020-11-27",310
16984,"2022-03-12","2022","2023-04-29",413
211969,"2022-12-19","2022","2023-09-20",275
557312,"2022-09-29","2022","2022-12-30",92
1666420,"2020-06-18","2020","2023-06-18",1095
1622761,"2023-11-08","2023","2023-12-13",35
936040,"2021-02-27","2021","2023-10-12",957
875994,"2023-08-09","2023","2023-10-16",68
269969,"2022-02-19","2022","2022-10-03",226
2080519,"2022-10-26","2022","2022-11-03",8
653859,"2021-09-25","2021","2022-10-22",392
504870,"2022-01-29","2022","2023-01-19",355
1238643,"2022-04-09","2022","2022-08-20",133
1360997,"2021-07-21","2021","2022-07-27",371
867586,"2022-02-19","2022","2022-11-11",265
525272,"2022-07-19","2022","2023-05-23",308
274125,"2022-08-11","2022","2023-12-29",505
2023278,"2021-11-11","2021","2023-01-04",419
449271,"2022-01-14","2022","2022-02-17",34
1412771,"2021-02-03","2021","2023-03-13",768
27525,"2022-08-12","2022","2023-05-03",264
2049501,"2022-01-10","2022","2022-10-11",274
126733,"2022-10-10","2022","2023-11-06",392
2095886,"2020-07-15","2020","2022-12-23",891
911925,"2020-02-06","2020","2021-08-21",562
1940284,"2020-02-08","2020","2023-01-20",1077
1917633,"2020-01-27","2020","2022-02-17",752
1722354,"2020-09-08","2020","2021-10-15",402
202703,"2020-03-02","2020","2021-08-19",535
2009365,"2022-06-30","2022","2023-12-21",539
856332,"2022-12-20","2022","2023-07-14",206
1001925,"2021-10-21","2021","2022-12-02",407
1589664,"2021-11-17","2021","2022-07-11",236
1724611,"2020-07-16","2020","2021-12-28",530
1202301,"2022-07-04","2022","2022-11-07",126
1341133,"2020-05-11","2020","2021-11-06",544
1295086,"2022-02-11","2022","2022-05-09",87
815898,"2022-09-03","2022","2023-03-24",202
336061,"2022-08-10","2022","2022-11-21",103
1008476,"2022-02-16","2022","2023-05-11",449
1518678,"2021-08-27","2021","2023-02-16",538
415661,"2022-12-26","2022","2023-11-11",320
1883487,"2022-09-21","2022","2022-11-19",59
1386918,"2021-07-22","2021","2021-08-11",20
2019311,"2022-07-09","2022","2023-12-28",537
1424475,"2022-09-03","2022","2023-12-10",463
625625,"2023-01-02","2023","2023-08-23",233
1232989,"2022-03-15","2022","2022-08-31",169
196204,"2020-08-05","2020","2021-11-27",479
2060249,"2020-06-29","2020","2022-11-08",862
436837,"2023-01-17","2023","2023-07-24",188
1889542,"2021-12-30","2021","2022-08-13",226
76987,"2022-06-22","2022","2023-09-30",465
1781405,"2020-01-14","2020","2022-07-27",925
1700521,"2022-07-20","2022","2023-01-05",169
1459468,"2021-02-09","2021","2021-12-28",322
905255,"2022-06-25","2022","2023-08-25",426
640509,"2023-03-29","2023","2023-09-23",178
1926888,"2022-02-12","2022","2022-06-17",125
1337783,"2023-06-09","2023","2023-10-06",119
738350,"2020-02-04","2020","2023-10-03",1337
2082586,"2023-06-17","2023","2023-10-23",128
1603380,"2020-02-05","2020","2022-02-15",741
461680,"2022-10-08","2022","2023-11-21",409
1492102,"2022-03-01","2022","2023-02-23",359
397599,"2023-02-21","2023","2023-08-25",185
409655,"2021-01-30","2021","2023-08-12",924
67145,"2021-10-27","2021","2023-05-08",558
1810367,"2022-10-12","2022","2022-10-18",6
461499,"2020-09-10","2020","2022-08-12",701
2016793,"2021-12-14","2021","2022-09-17",277
1782646,"2021-12-23","2021","2022-10-28",309
1444003,"2021-09-04","2021","2023-01-03",486
1713185,"2022-02-01","2022","2022-08-13",193
1949662,"2021-09-15","2021","2022-02-13",151
1351002,"2021-10-05","2021","2022-05-17",224
1488121,"2020-08-28","2020","2022-02-19",540
1308429,"2021-10-27","2021","2023-02-08",469
2026700,"2021-12-21","2021","2022-06-16",177
238158,"2022-04-16","2022","2023-01-16",275
2023925,"2023-10-13","2023","2023-11-21",39
1399549,"2020-02-21","2020","2020-03-12",20
2039670,"2021-06-21","2021","2023-01-28",586
1567632,"2021-05-23","2021","2022-09-10",475
2084437,"2021-10-15","2021","2023-02-18",491
312425,"2022-08-24","2022","2023-10-12",414
2033138,"2022-05-31","2022","2022-09-09",101
1937680,"2020-01-06","2020","2021-12-27",721
1176831,"2022-09-10","2022","2023-05-23",255
1785676,"2022-08-15","2022","2023-08-10",360
1345560,"2020-05-30","2020","2021-02-09",255
1507362,"2022-02-05","2022","2022-02-10",5
2047174,"2021-01-27","2021","2023-03-23",785
483110,"2023-06-26","2023","2023-12-05",162
1801766,"2021-08-25","2021","2023-05-07",620
1205245,"2021-06-23","2021","2022-01-01",192
669163,"2021-06-07","2021","2022-04-28",325
1005399,"2020-03-07","2020","2023-12-21",1384
614268,"2022-09-30","2022","2023-12-07",433
570529,"2023-05-03","2023","2023-08-06",95
251541,"2021-05-19","2021","2023-08-15",818
176830,"2020-02-08","2020","2023-02-28",1116
1122074,"2021-07-19","2021","2023-12-12",876
474972,"2022-03-31","2022","2023-07-26",482
1575624,"2022-06-08","2022","2023-01-16",222
1909684,"2021-09-09","2021","2021-12-24",106
2039922,"2020-01-14","2020","2023-05-02",1204
1637977,"2022-06-24","2022","2022-12-14",173
1671357,"2022-04-12","2022","2023-01-11",274
1863193,"2022-11-26","2022","2023-01-11",46
1349720,"2020-01-22","2020","2021-12-13",691
1122553,"2021-12-31","2021","2023-03-30",454
2000057,"2022-01-05","2022","2022-12-04",333
1439801,"2021-06-15","2021","2023-05-02",686
501063,"2023-05-30","2023","2023-07-12",43
1306283,"2021-07-21","2021","2022-11-07",474
366194,"2023-11-25","2023","2023-12-15",20
634039,"2020-01-15","2020","2020-05-13",119
1587420,"2022-08-18","2022","2023-03-07",201
226618,"2021-03-27","2021","2022-09-10",532
675304,"2020-07-27","2020","2023-11-14",1205
1953855,"2021-10-21","2021","2023-11-11",751
1475286,"2021-08-02","2021","2022-01-28",179
640591,"2022-04-28","2022","2023-10-27",547
1192337,"2021-06-26","2021","2022-11-03",495
518937,"2022-06-11","2022","2023-06-05",359
2014365,"2021-11-23","2021","2022-09-14",295
62368,"2022-02-17","2022","2022-05-12",84
1362396,"2022-01-29","2022","2022-10-12",256
880782,"2020-02-05","2020","2023-09-20",1323
1932442,"2021-11-15","2021","2021-12-13",28
496532,"2020-02-13","2020","2022-09-24",954
456044,"2022-04-23","2022","2022-04-27",4
1804004,"2021-08-28","2021","2022-09-23",391
1655155,"2022-06-04","2022","2022-06-09",5
1204630,"2021-07-17","2021","2021-07-31",14
401572,"2022-01-18","2022","2023-10-04",624
1488346,"2022-03-13","2022","2023-05-27",440
515813,"2022-05-26","2022","2023-04-22",331
2029141,"2022-07-16","2022","2022-12-31",168
1431871,"2020-09-16","2020","2021-07-21",308
443983,"2020-02-17","2020","2023-02-16",1095
288790,"2022-02-26","2022","2023-06-29",488
601753,"2022-01-01","2022","2022-02-12",42
1683261,"2021-01-06","2021","2021-05-08",122
1995381,"2023-01-24","2023","2023-02-26",33
1415509,"2020-04-11","2020","2021-07-23",468
536508,"2022-12-10","2022","2023-12-11",366
1544806,"2022-08-19","2022","2023-03-04",197
